# labeling started 2026-06-22T16:25:38.704468Z  days=620
20240818  rows=86400  flare_seconds=10269  flare_events=9  classes={'B': 0, 'C': 3965, 'M': 6304, 'X': 0}  time=0.2s
20240819  rows=86400  flare_seconds=12732  flare_events=12  classes={'B': 0, 'C': 10750, 'M': 1982, 'X': 0}  time=0.2s
20240820  rows=86400  flare_seconds=4025  flare_events=5  classes={'B': 0, 'C': 2643, 'M': 1382, 'X': 0}  time=0.2s
20240821  rows=86400  flare_seconds=12546  flare_events=8  classes={'B': 0, 'C': 10384, 'M': 2162, 'X': 0}  time=0.2s
20240822  rows=86400  flare_seconds=12492  flare_events=14  classes={'B': 0, 'C': 11591, 'M': 901, 'X': 0}  time=0.2s
20240823  rows=86400  flare_seconds=21257  flare_events=19  classes={'B': 0, 'C': 13450, 'M': 7807, 'X': 0}  time=0.2s
20240824  rows=86400  flare_seconds=17953  flare_events=16  classes={'B': 0, 'C': 11469, 'M': 6484, 'X': 0}  time=0.2s
20240825  rows=86400  flare_seconds=12191  flare_events=14  classes={'B': 0, 'C': 12191, 'M': 0, 'X': 0}  time=0.2s
20240826  rows=86400  flare_seconds=15967  flare_events=9  classes={'B': 0, 'C': 14526, 'M': 1441, 'X': 0}  time=0.2s
20240827  rows=86400  flare_seconds=7688  flare_events=8  classes={'B': 0, 'C': 6127, 'M': 1561, 'X': 0}  time=0.2s
20240828  rows=86400  flare_seconds=4805  flare_events=5  classes={'B': 0, 'C': 4805, 'M': 0, 'X': 0}  time=0.2s
20240830  rows=86400  flare_seconds=12610  flare_events=11  classes={'B': 0, 'C': 11048, 'M': 1562, 'X': 0}  time=0.2s
20240831  rows=86400  flare_seconds=10809  flare_events=10  classes={'B': 0, 'C': 6245, 'M': 4564, 'X': 0}  time=0.2s
20240901  rows=86400  flare_seconds=21250  flare_events=12  classes={'B': 0, 'C': 7446, 'M': 13804, 'X': 0}  time=0.2s
20240902  rows=86400  flare_seconds=14590  flare_events=11  classes={'B': 0, 'C': 5525, 'M': 9065, 'X': 0}  time=0.2s
20240903  rows=86400  flare_seconds=10570  flare_events=11  classes={'B': 0, 'C': 7928, 'M': 2642, 'X': 0}  time=0.2s
20240904  rows=86400  flare_seconds=16632  flare_events=17  classes={'B': 0, 'C': 9487, 'M': 7145, 'X': 0}  time=0.2s
20240905  rows=86400  flare_seconds=21798  flare_events=23  classes={'B': 0, 'C': 15853, 'M': 5945, 'X': 0}  time=0.2s
20240906  rows=86400  flare_seconds=23231  flare_events=13  classes={'B': 0, 'C': 23231, 'M': 0, 'X': 0}  time=0.2s
20240907  rows=86400  flare_seconds=17348  flare_events=8  classes={'B': 0, 'C': 6547, 'M': 10801, 'X': 0}  time=0.2s
20240908  rows=86400  flare_seconds=8164  flare_events=4  classes={'B': 0, 'C': 5223, 'M': 2941, 'X': 0}  time=0.2s
20240910  rows=86400  flare_seconds=12607  flare_events=7  classes={'B': 0, 'C': 6004, 'M': 6603, 'X': 0}  time=0.2s
20240911  rows=86400  flare_seconds=17048  flare_events=12  classes={'B': 0, 'C': 5645, 'M': 11403, 'X': 0}  time=0.2s
20240912  rows=86400  flare_seconds=17296  flare_events=16  classes={'B': 0, 'C': 7388, 'M': 8707, 'X': 1201}  time=0.2s
20240913  rows=86400  flare_seconds=20714  flare_events=14  classes={'B': 0, 'C': 6964, 'M': 13750, 'X': 0}  time=0.2s
20240914  rows=86400  flare_seconds=21726  flare_events=6  classes={'B': 0, 'C': 2943, 'M': 16742, 'X': 2041}  time=0.2s
20240915  rows=86400  flare_seconds=12966  flare_events=6  classes={'B': 0, 'C': 12966, 'M': 0, 'X': 0}  time=0.2s
20240916  rows=86400  flare_seconds=5523  flare_events=4  classes={'B': 0, 'C': 5523, 'M': 0, 'X': 0}  time=0.2s
20240917  rows=86400  flare_seconds=5824  flare_events=4  classes={'B': 0, 'C': 5824, 'M': 0, 'X': 0}  time=0.2s
20240918  rows=86400  flare_seconds=5584  flare_events=4  classes={'B': 0, 'C': 5584, 'M': 0, 'X': 0}  time=0.2s
20240919  rows=86400  flare_seconds=3184  flare_events=4  classes={'B': 0, 'C': 3184, 'M': 0, 'X': 0}  time=0.2s
20240920  rows=86400  flare_seconds=1141  flare_events=1  classes={'B': 0, 'C': 1141, 'M': 0, 'X': 0}  time=0.2s
20240921  rows=86400  flare_seconds=3243  flare_events=3  classes={'B': 0, 'C': 3243, 'M': 0, 'X': 0}  time=0.2s
20240922  rows=86400  flare_seconds=4622  flare_events=2  classes={'B': 0, 'C': 1441, 'M': 3181, 'X': 0}  time=0.2s
20240923  rows=86400  flare_seconds=5823  flare_events=3  classes={'B': 0, 'C': 1562, 'M': 4261, 'X': 0}  time=0.2s
20240925  rows=86400  flare_seconds=12423  flare_events=3  classes={'B': 0, 'C': 10862, 'M': 1561, 'X': 0}  time=0.2s
20240926  rows=86400  flare_seconds=4625  flare_events=5  classes={'B': 0, 'C': 3304, 'M': 1321, 'X': 0}  time=0.2s
20240927  rows=86400  flare_seconds=8826  flare_events=6  classes={'B': 0, 'C': 6905, 'M': 1921, 'X': 0}  time=0.1s
20240928  rows=86400  flare_seconds=4025  flare_events=5  classes={'B': 0, 'C': 4025, 'M': 0, 'X': 0}  time=0.2s
20240929  rows=86400  flare_seconds=9845  flare_events=6  classes={'B': 0, 'C': 7083, 'M': 2762, 'X': 0}  time=0.2s
20240930  rows=86400  flare_seconds=9128  flare_events=9  classes={'B': 0, 'C': 7748, 'M': 1380, 'X': 0}  time=0.2s
20241001  rows=86400  flare_seconds=14648  flare_events=12  classes={'B': 0, 'C': 7804, 'M': 4983, 'X': 1861}  time=0.2s
20241002  rows=86400  flare_seconds=15673  flare_events=16  classes={'B': 0, 'C': 7208, 'M': 8465, 'X': 0}  time=0.2s
20241003  rows=86400  flare_seconds=11050  flare_events=11  classes={'B': 0, 'C': 1082, 'M': 8827, 'X': 1141}  time=0.2s
20241004  rows=86400  flare_seconds=6906  flare_events=6  classes={'B': 0, 'C': 1081, 'M': 5825, 'X': 0}  time=0.2s
20241005  rows=86400  flare_seconds=12312  flare_events=14  classes={'B': 0, 'C': 7808, 'M': 4504, 'X': 0}  time=0.2s
20241006  rows=86400  flare_seconds=9308  flare_events=8  classes={'B': 0, 'C': 2823, 'M': 6485, 'X': 0}  time=0.2s
20241007  rows=86400  flare_seconds=11944  flare_events=5  classes={'B': 0, 'C': 1622, 'M': 3540, 'X': 6782}  time=0.2s
20241008  rows=86400  flare_seconds=5525  flare_events=5  classes={'B': 0, 'C': 4684, 'M': 841, 'X': 0}  time=0.2s
20241009  rows=86400  flare_seconds=10447  flare_events=7  classes={'B': 0, 'C': 2643, 'M': 2582, 'X': 5222}  time=0.2s
20241010  rows=86400  flare_seconds=13506  flare_events=8  classes={'B': 0, 'C': 5523, 'M': 7983, 'X': 0}  time=0.2s
20241011  rows=86400  flare_seconds=11167  flare_events=8  classes={'B': 0, 'C': 7686, 'M': 3481, 'X': 0}  time=0.2s
20241013  rows=86400  flare_seconds=3783  flare_events=3  classes={'B': 0, 'C': 3783, 'M': 0, 'X': 0}  time=0.2s
20241014  rows=86400  flare_seconds=11830  flare_events=12  classes={'B': 0, 'C': 8528, 'M': 3302, 'X': 0}  time=0.2s
20241015  rows=86400  flare_seconds=23417  flare_events=22  classes={'B': 0, 'C': 18794, 'M': 4623, 'X': 0}  time=0.2s
20241016  rows=86400  flare_seconds=20353  flare_events=19  classes={'B': 0, 'C': 11949, 'M': 8404, 'X': 0}  time=0.2s
20241017  rows=86400  flare_seconds=10209  flare_events=10  classes={'B': 0, 'C': 7447, 'M': 2762, 'X': 0}  time=0.2s
20241018  rows=86400  flare_seconds=13332  flare_events=13  classes={'B': 0, 'C': 10089, 'M': 3243, 'X': 0}  time=0.2s
20241019  rows=86400  flare_seconds=7269  flare_events=9  classes={'B': 0, 'C': 5587, 'M': 1682, 'X': 0}  time=0.2s
20241020  rows=86400  flare_seconds=2523  flare_events=3  classes={'B': 0, 'C': 2523, 'M': 0, 'X': 0}  time=0.2s
20241021  rows=86400  flare_seconds=0  flare_events=0  classes={'B': 0, 'C': 0, 'M': 0, 'X': 0}  time=0.2s
20241022  rows=86400  flare_seconds=44884  flare_events=4  classes={'B': 0, 'C': 44884, 'M': 0, 'X': 0}  time=0.2s
20241023  rows=86400  flare_seconds=13029  flare_events=9  classes={'B': 0, 'C': 13029, 'M': 0, 'X': 0}  time=0.2s
20241024  rows=86400  flare_seconds=5163  flare_events=3  classes={'B': 0, 'C': 961, 'M': 721, 'X': 3481}  time=0.2s
20241025  rows=86400  flare_seconds=6368  flare_events=8  classes={'B': 0, 'C': 5467, 'M': 901, 'X': 0}  time=0.2s
20241026  rows=86400  flare_seconds=14407  flare_events=8  classes={'B': 0, 'C': 3543, 'M': 3723, 'X': 7141}  time=0.1s
20241027  rows=86400  flare_seconds=11408  flare_events=9  classes={'B': 0, 'C': 9067, 'M': 2341, 'X': 0}  time=0.1s
20241028  rows=86400  flare_seconds=15914  flare_events=15  classes={'B': 0, 'C': 12611, 'M': 3303, 'X': 0}  time=0.2s
20241029  rows=86400  flare_seconds=4684  flare_events=5  classes={'B': 0, 'C': 3483, 'M': 1201, 'X': 0}  time=0.2s
20241030  rows=86400  flare_seconds=13445  flare_events=6  classes={'B': 0, 'C': 10744, 'M': 2701, 'X': 0}  time=0.1s
20241031  rows=86400  flare_seconds=21193  flare_events=17  classes={'B': 0, 'C': 8767, 'M': 11525, 'X': 901}  time=0.2s
20241101  rows=86400  flare_seconds=15188  flare_events=9  classes={'B': 0, 'C': 6664, 'M': 8524, 'X': 0}  time=0.2s
20241102  rows=86400  flare_seconds=4263  flare_events=3  classes={'B': 0, 'C': 781, 'M': 3482, 'X': 0}  time=0.2s
20241103  rows=86400  flare_seconds=11710  flare_events=10  classes={'B': 0, 'C': 6666, 'M': 5044, 'X': 0}  time=0.2s
20241104  rows=86400  flare_seconds=19817  flare_events=18  classes={'B': 0, 'C': 5526, 'M': 14291, 'X': 0}  time=0.2s
20241105  rows=86400  flare_seconds=17112  flare_events=12  classes={'B': 0, 'C': 7267, 'M': 9845, 'X': 0}  time=0.2s
20241107  rows=86400  flare_seconds=15072  flare_events=14  classes={'B': 0, 'C': 4866, 'M': 10206, 'X': 0}  time=0.2s
20241108  rows=86400  flare_seconds=17473  flare_events=14  classes={'B': 0, 'C': 16332, 'M': 1141, 'X': 0}  time=0.2s
20241109  rows=86400  flare_seconds=8350  flare_events=10  classes={'B': 0, 'C': 7749, 'M': 601, 'X': 0}  time=0.2s
20241110  rows=86400  flare_seconds=15250  flare_events=10  classes={'B': 0, 'C': 11227, 'M': 4023, 'X': 0}  time=0.2s
20241111  rows=86400  flare_seconds=6424  flare_events=5  classes={'B': 0, 'C': 3723, 'M': 2701, 'X': 0}  time=0.2s
20241112  rows=86400  flare_seconds=15728  flare_events=8  classes={'B': 0, 'C': 15728, 'M': 0, 'X': 0}  time=0.2s
20241113  rows=86400  flare_seconds=11228  flare_events=11  classes={'B': 0, 'C': 8766, 'M': 2462, 'X': 0}  time=0.2s
20241114  rows=86400  flare_seconds=7804  flare_events=6  classes={'B': 0, 'C': 7804, 'M': 0, 'X': 0}  time=0.2s
20241115  rows=86400  flare_seconds=85620  flare_events=1  classes={'B': 0, 'C': 0, 'M': 85620, 'X': 0}  time=0.2s
20241116  rows=86400  flare_seconds=15428  flare_events=9  classes={'B': 0, 'C': 7747, 'M': 7681, 'X': 0}  time=0.2s
20241117  rows=86400  flare_seconds=7744  flare_events=5  classes={'B': 0, 'C': 7744, 'M': 0, 'X': 0}  time=0.2s
20241118  rows=86400  flare_seconds=23243  flare_events=25  classes={'B': 0, 'C': 12435, 'M': 10808, 'X': 0}  time=0.2s
20241119  rows=86400  flare_seconds=9428  flare_events=9  classes={'B': 0, 'C': 9428, 'M': 0, 'X': 0}  time=0.2s
20241120  rows=86400  flare_seconds=10088  flare_events=8  classes={'B': 0, 'C': 4507, 'M': 5581, 'X': 0}  time=0.2s
20241121  rows=86400  flare_seconds=10624  flare_events=5  classes={'B': 0, 'C': 10624, 'M': 0, 'X': 0}  time=0.2s
20241122  rows=86400  flare_seconds=16749  flare_events=10  classes={'B': 0, 'C': 12187, 'M': 4562, 'X': 0}  time=0.2s
20241123  rows=86400  flare_seconds=15371  flare_events=12  classes={'B': 0, 'C': 11049, 'M': 4322, 'X': 0}  time=0.2s
20241124  rows=86400  flare_seconds=8828  flare_events=8  classes={'B': 0, 'C': 7627, 'M': 1201, 'X': 0}  time=0.2s
20241125  rows=86400  flare_seconds=21672  flare_events=14  classes={'B': 0, 'C': 7566, 'M': 14106, 'X': 0}  time=0.2s
20241126  rows=86400  flare_seconds=6006  flare_events=7  classes={'B': 0, 'C': 6006, 'M': 0, 'X': 0}  time=0.2s
20241127  rows=86400  flare_seconds=13689  flare_events=12  classes={'B': 0, 'C': 12368, 'M': 1321, 'X': 0}  time=0.2s
20241128  rows=86400  flare_seconds=3304  flare_events=4  classes={'B': 0, 'C': 3304, 'M': 0, 'X': 0}  time=0.2s
20241129  rows=86400  flare_seconds=9607  flare_events=9  classes={'B': 0, 'C': 9607, 'M': 0, 'X': 0}  time=0.2s
20241130  rows=86400  flare_seconds=13271  flare_events=12  classes={'B': 0, 'C': 13271, 'M': 0, 'X': 0}  time=0.2s
20241201  rows=86400  flare_seconds=6545  flare_events=5  classes={'B': 0, 'C': 6545, 'M': 0, 'X': 0}  time=0.1s
20241202  rows=86400  flare_seconds=12068  flare_events=8  classes={'B': 0, 'C': 12068, 'M': 0, 'X': 0}  time=0.1s
20241203  rows=86400  flare_seconds=6727  flare_events=7  classes={'B': 0, 'C': 6727, 'M': 0, 'X': 0}  time=0.2s
20241204  rows=86400  flare_seconds=11410  flare_events=11  classes={'B': 0, 'C': 7988, 'M': 3422, 'X': 0}  time=0.2s
20241205  rows=86400  flare_seconds=15734  flare_events=15  classes={'B': 0, 'C': 11951, 'M': 3783, 'X': 0}  time=0.1s
20241206  rows=86400  flare_seconds=20955  flare_events=16  classes={'B': 0, 'C': 18794, 'M': 2161, 'X': 0}  time=0.1s
20241207  rows=86400  flare_seconds=17838  flare_events=19  classes={'B': 0, 'C': 14956, 'M': 2882, 'X': 0}  time=0.1s
20241208  rows=86400  flare_seconds=14531  flare_events=14  classes={'B': 0, 'C': 12249, 'M': 1081, 'X': 1201}  time=0.1s
20241209  rows=86400  flare_seconds=17117  flare_events=17  classes={'B': 0, 'C': 17117, 'M': 0, 'X': 0}  time=0.2s
20241210  rows=86400  flare_seconds=24562  flare_events=30  classes={'B': 0, 'C': 22519, 'M': 2043, 'X': 0}  time=0.1s
20241211  rows=86400  flare_seconds=12373  flare_events=14  classes={'B': 0, 'C': 9610, 'M': 2763, 'X': 0}  time=0.2s
